model_name,arch,init,protocol,init_mode,epoch_variant,dependency_model_name,threat_norm,threat_eps,priority,notes,model,model.experiment_name,model.experiment_num,model.v1_noise_mode,model.compile_model,output_dir,training.epochs,training.batch_size,attacks.advtrain,attacks.attack_criterion,attacks.attack_norm,attacks.attack_domain,attacks.attack_eps,attacks.v1_attack_eps,attacks.gradnorm,attacks.gradnorm_penalty_norm,dataset.dvd.enabled,dataset.dvd.variant,continuation.enabled,continuation.use_ema,checkpointing.save_best_adv,epsilon_schedule.enabled,epsilon_schedule.type,epsilon_schedule.source_epsilon,epsilon_schedule.target_epsilon,epsilon_schedule.warmup_epochs,epsilon_schedule.ramp_start_epoch,epsilon_schedule.ramp_end_epoch,epsilon_schedule.fixed_start_epoch
convnext_base_dvd_b_linf_4_init1,convnext_base,1,madry,scratch,,,linf,4,162,madry+dvd_b linf eps4 scratch,convnext_base,convnext_base_dvd_b_linf_4_init1,1,,True,results/models,200,512,True,madry,linf,,4,,,,true,dvd-b,,,true,,,,,,,,
convnext_base_dvd_b_linf_cont4to6_init1_resetepoch,convnext_base,1,madry,continuation,resetepoch,convnext_base_dvd_b_linf_4_init1,linf,6,163,cont 4->6 from convnext_base_dvd_b_linf_4_init1 (continuation),convnext_base,convnext_base_dvd_b_linf_cont4to6_init1_resetepoch,1,,True,results/models,40,512,True,madry,linf,,6,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,4,6,4,5,25,26
convnext_base_dvd_b_linf_cont4to8_init1_resetepoch,convnext_base,1,madry,continuation,resetepoch,convnext_base_dvd_b_linf_4_init1,linf,8,164,cont 4->8 from convnext_base_dvd_b_linf_4_init1 (continuation),convnext_base,convnext_base_dvd_b_linf_cont4to8_init1_resetepoch,1,,True,results/models,40,512,True,madry,linf,,8,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,4,8,4,5,25,26
convnext_base_dvd_b_linf_cont8to12_init1_resetepoch,convnext_base,1,madry,continuation,resetepoch,convnext_base_dvd_b_linf_cont4to8_init1_resetepoch,linf,12,165,cont 8->12 from convnext_base_dvd_b_linf_cont4to8_init1_resetepoch (continuation),convnext_base,convnext_base_dvd_b_linf_cont8to12_init1_resetepoch,1,,True,results/models,50,512,True,madry,linf,,12,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36
convnext_base_dvd_b_linf_cont4to6_init1_contepoch,convnext_base,1,madry,resume,contepoch,convnext_base_dvd_b_linf_4_init1,linf,6,166,cont 4->6 from convnext_base_dvd_b_linf_4_init1 (resume),convnext_base,convnext_base_dvd_b_linf_cont4to6_init1_contepoch,1,,True,results/models,240,512,True,madry,linf,,6,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,6,204,205,225,226
convnext_base_dvd_b_linf_cont4to8_init1_contepoch,convnext_base,1,madry,resume,contepoch,convnext_base_dvd_b_linf_4_init1,linf,8,167,cont 4->8 from convnext_base_dvd_b_linf_4_init1 (resume),convnext_base,convnext_base_dvd_b_linf_cont4to8_init1_contepoch,1,,True,results/models,240,512,True,madry,linf,,8,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,8,204,205,225,226
convnext_base_dvd_b_linf_cont8to12_init1_contepoch,convnext_base,1,madry,resume,contepoch,convnext_base_dvd_b_linf_cont4to8_init1_contepoch,linf,12,168,cont 8->12 from convnext_base_dvd_b_linf_cont4to8_init1_contepoch (resume),convnext_base,convnext_base_dvd_b_linf_cont8to12_init1_contepoch,1,,True,results/models,290,512,True,madry,linf,,12,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,8,12,244,245,275,276
convnext_base_dvd_b_l1trades_1_init1,convnext_base,1,trades,scratch,,,l1,1,169,trades+dvd_b l1 eps1 scratch,convnext_base,convnext_base_dvd_b_l1trades_1_init1,1,,,results/models,200,256,True,trades,l1,,1,,,,true,dvd-b,,,true,,,,,,,,
convnext_base_dvd_b_l1trades_2_init1,convnext_base,1,trades,scratch,,,l1,2,170,trades+dvd_b l1 eps2 scratch,convnext_base,convnext_base_dvd_b_l1trades_2_init1,1,,,results/models,200,256,True,trades,l1,,2,,,,true,dvd-b,,,true,,,,,,,,
convnext_base_dvd_b_l1trades_4_init1,convnext_base,1,trades,scratch,,,l1,4,171,trades+dvd_b l1 eps4 scratch,convnext_base,convnext_base_dvd_b_l1trades_4_init1,1,,,results/models,200,256,True,trades,l1,,4,,,,true,dvd-b,,,true,,,,,,,,
convnext_base_dvd_b_l1trades_cont4to6_init1_resetepoch,convnext_base,1,trades,continuation,resetepoch,convnext_base_dvd_b_l1trades_4_init1,l1,6,172,cont 4->6 from convnext_base_dvd_b_l1trades_4_init1 (continuation),convnext_base,convnext_base_dvd_b_l1trades_cont4to6_init1_resetepoch,1,,,results/models,40,256,True,trades,l1,,6,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,4,6,4,5,25,26
convnext_base_dvd_b_l1trades_cont4to8_init1_resetepoch,convnext_base,1,trades,continuation,resetepoch,convnext_base_dvd_b_l1trades_4_init1,l1,8,173,cont 4->8 from convnext_base_dvd_b_l1trades_4_init1 (continuation),convnext_base,convnext_base_dvd_b_l1trades_cont4to8_init1_resetepoch,1,,,results/models,40,256,True,trades,l1,,8,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,4,8,4,5,25,26
convnext_base_dvd_b_l1trades_cont8to12_init1_resetepoch,convnext_base,1,trades,continuation,resetepoch,convnext_base_dvd_b_l1trades_cont4to8_init1_resetepoch,l1,12,174,cont 8->12 from convnext_base_dvd_b_l1trades_cont4to8_init1_resetepoch (continuation),convnext_base,convnext_base_dvd_b_l1trades_cont8to12_init1_resetepoch,1,,,results/models,50,256,True,trades,l1,,12,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36
convnext_base_dvd_b_l1trades_cont4to6_init1_contepoch,convnext_base,1,trades,resume,contepoch,convnext_base_dvd_b_l1trades_4_init1,l1,6,175,cont 4->6 from convnext_base_dvd_b_l1trades_4_init1 (resume),convnext_base,convnext_base_dvd_b_l1trades_cont4to6_init1_contepoch,1,,,results/models,240,256,True,trades,l1,,6,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,6,204,205,225,226
convnext_base_dvd_b_l1trades_cont4to8_init1_contepoch,convnext_base,1,trades,resume,contepoch,convnext_base_dvd_b_l1trades_4_init1,l1,8,176,cont 4->8 from convnext_base_dvd_b_l1trades_4_init1 (resume),convnext_base,convnext_base_dvd_b_l1trades_cont4to8_init1_contepoch,1,,,results/models,240,256,True,trades,l1,,8,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,8,204,205,225,226
convnext_base_dvd_b_l1trades_cont8to12_init1_contepoch,convnext_base,1,trades,resume,contepoch,convnext_base_dvd_b_l1trades_cont4to8_init1_contepoch,l1,12,177,cont 8->12 from convnext_base_dvd_b_l1trades_cont4to8_init1_contepoch (resume),convnext_base,convnext_base_dvd_b_l1trades_cont8to12_init1_contepoch,1,,,results/models,290,256,True,trades,l1,,12,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,8,12,244,245,275,276
convnext_base_dvd_b_l2trades_1_init1,convnext_base,1,trades,scratch,,,l2,1,178,trades+dvd_b l2 eps1 scratch,convnext_base,convnext_base_dvd_b_l2trades_1_init1,1,,,results/models,200,256,True,trades,l2,,1,,,,true,dvd-b,,,true,,,,,,,,
convnext_base_dvd_b_l2trades_2_init1,convnext_base,1,trades,scratch,,,l2,2,179,trades+dvd_b l2 eps2 scratch,convnext_base,convnext_base_dvd_b_l2trades_2_init1,1,,,results/models,200,256,True,trades,l2,,2,,,,true,dvd-b,,,true,,,,,,,,
convnext_base_dvd_b_l2trades_4_init1,convnext_base,1,trades,scratch,,,l2,4,180,trades+dvd_b l2 eps4 scratch,convnext_base,convnext_base_dvd_b_l2trades_4_init1,1,,,results/models,200,256,True,trades,l2,,4,,,,true,dvd-b,,,true,,,,,,,,
convnext_base_dvd_b_l2trades_cont4to6_init1_resetepoch,convnext_base,1,trades,continuation,resetepoch,convnext_base_dvd_b_l2trades_4_init1,l2,6,181,cont 4->6 from convnext_base_dvd_b_l2trades_4_init1 (continuation),convnext_base,convnext_base_dvd_b_l2trades_cont4to6_init1_resetepoch,1,,,results/models,40,256,True,trades,l2,,6,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,4,6,4,5,25,26
convnext_base_dvd_b_l2trades_cont4to8_init1_resetepoch,convnext_base,1,trades,continuation,resetepoch,convnext_base_dvd_b_l2trades_4_init1,l2,8,182,cont 4->8 from convnext_base_dvd_b_l2trades_4_init1 (continuation),convnext_base,convnext_base_dvd_b_l2trades_cont4to8_init1_resetepoch,1,,,results/models,40,256,True,trades,l2,,8,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,4,8,4,5,25,26
convnext_base_dvd_b_l2trades_cont8to12_init1_resetepoch,convnext_base,1,trades,continuation,resetepoch,convnext_base_dvd_b_l2trades_cont4to8_init1_resetepoch,l2,12,183,cont 8->12 from convnext_base_dvd_b_l2trades_cont4to8_init1_resetepoch (continuation),convnext_base,convnext_base_dvd_b_l2trades_cont8to12_init1_resetepoch,1,,,results/models,50,256,True,trades,l2,,12,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36
convnext_base_dvd_b_l2trades_cont4to6_init1_contepoch,convnext_base,1,trades,resume,contepoch,convnext_base_dvd_b_l2trades_4_init1,l2,6,184,cont 4->6 from convnext_base_dvd_b_l2trades_4_init1 (resume),convnext_base,convnext_base_dvd_b_l2trades_cont4to6_init1_contepoch,1,,,results/models,240,256,True,trades,l2,,6,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,6,204,205,225,226
convnext_base_dvd_b_l2trades_cont4to8_init1_contepoch,convnext_base,1,trades,resume,contepoch,convnext_base_dvd_b_l2trades_4_init1,l2,8,185,cont 4->8 from convnext_base_dvd_b_l2trades_4_init1 (resume),convnext_base,convnext_base_dvd_b_l2trades_cont4to8_init1_contepoch,1,,,results/models,240,256,True,trades,l2,,8,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,8,204,205,225,226
convnext_base_dvd_b_l2trades_cont8to12_init1_contepoch,convnext_base,1,trades,resume,contepoch,convnext_base_dvd_b_l2trades_cont4to8_init1_contepoch,l2,12,186,cont 8->12 from convnext_base_dvd_b_l2trades_cont4to8_init1_contepoch (resume),convnext_base,convnext_base_dvd_b_l2trades_cont8to12_init1_contepoch,1,,,results/models,290,256,True,trades,l2,,12,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,8,12,244,245,275,276
convnext_base_dvd_b_linftrades_1_init1,convnext_base,1,trades,scratch,,,linf,1,187,trades+dvd_b linf eps1 scratch,convnext_base,convnext_base_dvd_b_linftrades_1_init1,1,,,results/models,200,256,True,trades,linf,,1,,,,true,dvd-b,,,true,,,,,,,,
convnext_base_dvd_b_linftrades_2_init1,convnext_base,1,trades,scratch,,,linf,2,188,trades+dvd_b linf eps2 scratch,convnext_base,convnext_base_dvd_b_linftrades_2_init1,1,,,results/models,200,256,True,trades,linf,,2,,,,true,dvd-b,,,true,,,,,,,,
convnext_base_dvd_b_linftrades_4_init1,convnext_base,1,trades,scratch,,,linf,4,189,trades+dvd_b linf eps4 scratch,convnext_base,convnext_base_dvd_b_linftrades_4_init1,1,,,results/models,200,256,True,trades,linf,,4,,,,true,dvd-b,,,true,,,,,,,,
convnext_base_dvd_b_linftrades_cont4to6_init1_resetepoch,convnext_base,1,trades,continuation,resetepoch,convnext_base_dvd_b_linftrades_4_init1,linf,6,190,cont 4->6 from convnext_base_dvd_b_linftrades_4_init1 (continuation),convnext_base,convnext_base_dvd_b_linftrades_cont4to6_init1_resetepoch,1,,,results/models,40,256,True,trades,linf,,6,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,4,6,4,5,25,26
convnext_base_dvd_b_linftrades_cont4to8_init1_resetepoch,convnext_base,1,trades,continuation,resetepoch,convnext_base_dvd_b_linftrades_4_init1,linf,8,191,cont 4->8 from convnext_base_dvd_b_linftrades_4_init1 (continuation),convnext_base,convnext_base_dvd_b_linftrades_cont4to8_init1_resetepoch,1,,,results/models,40,256,True,trades,linf,,8,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,4,8,4,5,25,26
convnext_base_dvd_b_linftrades_cont8to12_init1_resetepoch,convnext_base,1,trades,continuation,resetepoch,convnext_base_dvd_b_linftrades_cont4to8_init1_resetepoch,linf,12,192,cont 8->12 from convnext_base_dvd_b_linftrades_cont4to8_init1_resetepoch (continuation),convnext_base,convnext_base_dvd_b_linftrades_cont8to12_init1_resetepoch,1,,,results/models,50,256,True,trades,linf,,12,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36
convnext_base_dvd_b_linftrades_cont4to6_init1_contepoch,convnext_base,1,trades,resume,contepoch,convnext_base_dvd_b_linftrades_4_init1,linf,6,193,cont 4->6 from convnext_base_dvd_b_linftrades_4_init1 (resume),convnext_base,convnext_base_dvd_b_linftrades_cont4to6_init1_contepoch,1,,,results/models,240,256,True,trades,linf,,6,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,6,204,205,225,226
convnext_base_dvd_b_linftrades_cont4to8_init1_contepoch,convnext_base,1,trades,resume,contepoch,convnext_base_dvd_b_linftrades_4_init1,linf,8,194,cont 4->8 from convnext_base_dvd_b_linftrades_4_init1 (resume),convnext_base,convnext_base_dvd_b_linftrades_cont4to8_init1_contepoch,1,,,results/models,240,256,True,trades,linf,,8,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,8,204,205,225,226
convnext_base_dvd_b_linftrades_cont8to12_init1_contepoch,convnext_base,1,trades,resume,contepoch,convnext_base_dvd_b_linftrades_cont4to8_init1_contepoch,linf,12,195,cont 8->12 from convnext_base_dvd_b_linftrades_cont4to8_init1_contepoch (resume),convnext_base,convnext_base_dvd_b_linftrades_cont8to12_init1_contepoch,1,,,results/models,290,256,True,trades,linf,,12,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,8,12,244,245,275,276
convnext_base_v1_l2_1_init1,convnext_base,1,v1,scratch,,,l2,1,318,v1 l2 eps1 scratch,convnext_base_v1,convnext_base_v1_l2_1_init1,1,null,,results/models,150,256,True,madry,l2,v1_feature,,1,,,,,,,true,,,,,,,,
convnext_base_v1_l2_2_init1,convnext_base,1,v1,scratch,,,l2,2,319,v1 l2 eps2 scratch,convnext_base_v1,convnext_base_v1_l2_2_init1,1,null,,results/models,150,256,True,madry,l2,v1_feature,,2,,,,,,,true,,,,,,,,
convnext_base_v1_l2_4_init1,convnext_base,1,v1,scratch,,,l2,4,320,v1 l2 eps4 scratch,convnext_base_v1,convnext_base_v1_l2_4_init1,1,null,,results/models,150,256,True,madry,l2,v1_feature,,4,,,,,,,true,,,,,,,,
convnext_base_v1_l2_cont4to6_init1,convnext_base,1,v1,continuation,,convnext_base_v1_l2_4_init1,l2,6,321,v1 cont 4->6 from convnext_base_v1_l2_4_init1,convnext_base_v1,convnext_base_v1_l2_cont4to6_init1,1,null,,results/models,40,256,True,madry,l2,v1_feature,,6,,,,,true,true,true,true,warmup_ramp_fixed,4,6,4,5,25,26
convnext_base_v1_l2_cont4to8_init1,convnext_base,1,v1,continuation,,convnext_base_v1_l2_4_init1,l2,8,322,v1 cont 4->8 from convnext_base_v1_l2_4_init1,convnext_base_v1,convnext_base_v1_l2_cont4to8_init1,1,null,,results/models,40,256,True,madry,l2,v1_feature,,8,,,,,true,true,true,true,warmup_ramp_fixed,4,8,4,5,25,26
convnext_base_v1_l2_cont8to12_init1,convnext_base,1,v1,continuation,,convnext_base_v1_l2_cont4to8_init1,l2,12,323,v1 cont 8->12 from convnext_base_v1_l2_cont4to8_init1,convnext_base_v1,convnext_base_v1_l2_cont8to12_init1,1,null,,results/models,50,256,True,madry,l2,v1_feature,,12,,,,,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36
convnext_base_gradnorm_l1_1_init1,convnext_base,1,gradnorm,resume,,convnext_base_baseline_init1,linf,1,202,gradnorm l1 eps1 resume from convnext_base_baseline_init1 (150->200),convnext_base,convnext_base_gradnorm_l1_1_init1,1,,,results/models,200,256,,,,,1,,True,l1,,,,,true,,,,,,,,
convnext_base_gradnorm_l1_2_init1,convnext_base,1,gradnorm,resume,,convnext_base_baseline_init1,linf,2,203,gradnorm l1 eps2 resume from convnext_base_baseline_init1 (150->200),convnext_base,convnext_base_gradnorm_l1_2_init1,1,,,results/models,200,256,,,,,2,,True,l1,,,,,true,,,,,,,,
convnext_base_gradnorm_l1_4_init1,convnext_base,1,gradnorm,resume,,convnext_base_baseline_init1,linf,4,204,gradnorm l1 eps4 resume from convnext_base_baseline_init1 (150->200),convnext_base,convnext_base_gradnorm_l1_4_init1,1,,,results/models,200,256,,,,,4,,True,l1,,,,,true,,,,,,,,
convnext_base_gradnorm_l1_6_init1,convnext_base,1,gradnorm,resume,,convnext_base_baseline_init1,linf,6,205,gradnorm l1 eps6 resume from convnext_base_baseline_init1 (150->200),convnext_base,convnext_base_gradnorm_l1_6_init1,1,,,results/models,200,256,,,,,6,,True,l1,,,,,true,,,,,,,,
convnext_base_gradnorm_l1_8_init1,convnext_base,1,gradnorm,resume,,convnext_base_baseline_init1,linf,8,206,gradnorm l1 eps8 resume from convnext_base_baseline_init1 (150->200),convnext_base,convnext_base_gradnorm_l1_8_init1,1,,,results/models,200,256,,,,,8,,True,l1,,,,,true,,,,,,,,
convnext_base_gradnorm_l1_12_init1,convnext_base,1,gradnorm,resume,,convnext_base_baseline_init1,linf,12,207,gradnorm l1 eps12 resume from convnext_base_baseline_init1 (150->200),convnext_base,convnext_base_gradnorm_l1_12_init1,1,,,results/models,200,256,,,,,12,,True,l1,,,,,true,,,,,,,,
convnext_base_baseline_init2,convnext_base,2,baseline,scratch,,,,,208,clean baseline (no adv),convnext_base,convnext_base_baseline_init2,2,,,results/models,150,512,False,,,,,,,,,,,,,,,,,,,,
convnext_base_dvd_b_baseline_init2,convnext_base,2,dvd_b_baseline,scratch,,,,,209,"DVD-B augmentation, no adv",convnext_base,convnext_base_dvd_b_baseline_init2,2,,,results/models,200,512,False,,,,,,,,true,dvd-b,,,,,,,,,,,
convnext_base_l1_1_init2,convnext_base,2,madry,scratch,,,l1,1,210,madry l1 eps1 scratch,convnext_base,convnext_base_l1_1_init2,2,,True,results/models,150,512,True,madry,l1,,1,,,,,,,,true,,,,,,,,
convnext_base_l1_2_init2,convnext_base,2,madry,scratch,,,l1,2,211,madry l1 eps2 scratch,convnext_base,convnext_base_l1_2_init2,2,,True,results/models,150,512,True,madry,l1,,2,,,,,,,,true,,,,,,,,
convnext_base_l1_4_init2,convnext_base,2,madry,scratch,,,l1,4,212,madry l1 eps4 scratch,convnext_base,convnext_base_l1_4_init2,2,,True,results/models,150,512,True,madry,l1,,4,,,,,,,,true,,,,,,,,
convnext_base_l1_cont4to6_init2,convnext_base,2,madry,continuation,,convnext_base_l1_4_init2,l1,6,213,cont 4->6 from convnext_base_l1_4_init2 (continuation),convnext_base,convnext_base_l1_cont4to6_init2,2,,True,results/models,40,512,True,madry,l1,,6,,,,,,true,true,true,true,warmup_ramp_fixed,4,6,4,5,25,26
convnext_base_l1_cont4to8_init2,convnext_base,2,madry,continuation,,convnext_base_l1_4_init2,l1,8,214,cont 4->8 from convnext_base_l1_4_init2 (continuation),convnext_base,convnext_base_l1_cont4to8_init2,2,,True,results/models,40,512,True,madry,l1,,8,,,,,,true,true,true,true,warmup_ramp_fixed,4,8,4,5,25,26
convnext_base_l1_cont8to12_init2,convnext_base,2,madry,continuation,,convnext_base_l1_cont4to8_init2,l1,12,215,cont 8->12 from convnext_base_l1_cont4to8_init2 (continuation),convnext_base,convnext_base_l1_cont8to12_init2,2,,True,results/models,50,512,True,madry,l1,,12,,,,,,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36
convnext_base_l2_1_init2,convnext_base,2,madry,scratch,,,l2,1,216,madry l2 eps1 scratch,convnext_base,convnext_base_l2_1_init2,2,,True,results/models,150,512,True,madry,l2,,1,,,,,,,,true,,,,,,,,
convnext_base_l2_2_init2,convnext_base,2,madry,scratch,,,l2,2,217,madry l2 eps2 scratch,convnext_base,convnext_base_l2_2_init2,2,,True,results/models,150,512,True,madry,l2,,2,,,,,,,,true,,,,,,,,
convnext_base_l2_4_init2,convnext_base,2,madry,scratch,,,l2,4,218,madry l2 eps4 scratch,convnext_base,convnext_base_l2_4_init2,2,,True,results/models,150,512,True,madry,l2,,4,,,,,,,,true,,,,,,,,
convnext_base_l2_cont4to6_init2,convnext_base,2,madry,continuation,,convnext_base_l2_4_init2,l2,6,219,cont 4->6 from convnext_base_l2_4_init2 (continuation),convnext_base,convnext_base_l2_cont4to6_init2,2,,True,results/models,40,512,True,madry,l2,,6,,,,,,true,true,true,true,warmup_ramp_fixed,4,6,4,5,25,26
convnext_base_l2_cont4to8_init2,convnext_base,2,madry,continuation,,convnext_base_l2_4_init2,l2,8,220,cont 4->8 from convnext_base_l2_4_init2 (continuation),convnext_base,convnext_base_l2_cont4to8_init2,2,,True,results/models,40,512,True,madry,l2,,8,,,,,,true,true,true,true,warmup_ramp_fixed,4,8,4,5,25,26
convnext_base_l2_cont8to12_init2,convnext_base,2,madry,continuation,,convnext_base_l2_cont4to8_init2,l2,12,221,cont 8->12 from convnext_base_l2_cont4to8_init2 (continuation),convnext_base,convnext_base_l2_cont8to12_init2,2,,True,results/models,50,512,True,madry,l2,,12,,,,,,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36
convnext_base_linf_1_init2,convnext_base,2,madry,scratch,,,linf,1,222,madry linf eps1 scratch,convnext_base,convnext_base_linf_1_init2,2,,True,results/models,150,512,True,madry,linf,,1,,,,,,,,true,,,,,,,,
convnext_base_linf_2_init2,convnext_base,2,madry,scratch,,,linf,2,223,madry linf eps2 scratch,convnext_base,convnext_base_linf_2_init2,2,,True,results/models,150,512,True,madry,linf,,2,,,,,,,,true,,,,,,,,
convnext_base_linf_4_init2,convnext_base,2,madry,scratch,,,linf,4,224,madry linf eps4 scratch,convnext_base,convnext_base_linf_4_init2,2,,True,results/models,150,512,True,madry,linf,,4,,,,,,,,true,,,,,,,,
convnext_base_linf_cont4to6_init2,convnext_base,2,madry,continuation,,convnext_base_linf_4_init2,linf,6,225,cont 4->6 from convnext_base_linf_4_init2 (continuation),convnext_base,convnext_base_linf_cont4to6_init2,2,,True,results/models,40,512,True,madry,linf,,6,,,,,,true,true,true,true,warmup_ramp_fixed,4,6,4,5,25,26
convnext_base_linf_cont4to8_init2,convnext_base,2,madry,continuation,,convnext_base_linf_4_init2,linf,8,226,cont 4->8 from convnext_base_linf_4_init2 (continuation),convnext_base,convnext_base_linf_cont4to8_init2,2,,True,results/models,40,512,True,madry,linf,,8,,,,,,true,true,true,true,warmup_ramp_fixed,4,8,4,5,25,26
convnext_base_linf_cont8to12_init2,convnext_base,2,madry,continuation,,convnext_base_linf_cont4to8_init2,linf,12,227,cont 8->12 from convnext_base_linf_cont4to8_init2 (continuation),convnext_base,convnext_base_linf_cont8to12_init2,2,,True,results/models,50,512,True,madry,linf,,12,,,,,,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36
convnext_base_l1trades_1_init2,convnext_base,2,trades,scratch,,,l1,1,228,trades l1 eps1 scratch,convnext_base,convnext_base_l1trades_1_init2,2,,,results/models,150,256,True,trades,l1,,1,,,,,,,,true,,,,,,,,
convnext_base_l1trades_2_init2,convnext_base,2,trades,scratch,,,l1,2,229,trades l1 eps2 scratch,convnext_base,convnext_base_l1trades_2_init2,2,,,results/models,150,256,True,trades,l1,,2,,,,,,,,true,,,,,,,,
convnext_base_l1trades_4_init2,convnext_base,2,trades,scratch,,,l1,4,230,trades l1 eps4 scratch,convnext_base,convnext_base_l1trades_4_init2,2,,,results/models,150,256,True,trades,l1,,4,,,,,,,,true,,,,,,,,
convnext_base_l1trades_cont4to6_init2,convnext_base,2,trades,continuation,,convnext_base_l1trades_4_init2,l1,6,231,cont 4->6 from convnext_base_l1trades_4_init2 (continuation),convnext_base,convnext_base_l1trades_cont4to6_init2,2,,,results/models,40,256,True,trades,l1,,6,,,,,,true,true,true,true,warmup_ramp_fixed,4,6,4,5,25,26
convnext_base_l1trades_cont4to8_init2,convnext_base,2,trades,continuation,,convnext_base_l1trades_4_init2,l1,8,232,cont 4->8 from convnext_base_l1trades_4_init2 (continuation),convnext_base,convnext_base_l1trades_cont4to8_init2,2,,,results/models,40,256,True,trades,l1,,8,,,,,,true,true,true,true,warmup_ramp_fixed,4,8,4,5,25,26
convnext_base_l1trades_cont8to12_init2,convnext_base,2,trades,continuation,,convnext_base_l1trades_cont4to8_init2,l1,12,233,cont 8->12 from convnext_base_l1trades_cont4to8_init2 (continuation),convnext_base,convnext_base_l1trades_cont8to12_init2,2,,,results/models,50,256,True,trades,l1,,12,,,,,,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36
convnext_base_l2trades_1_init2,convnext_base,2,trades,scratch,,,l2,1,234,trades l2 eps1 scratch,convnext_base,convnext_base_l2trades_1_init2,2,,,results/models,150,256,True,trades,l2,,1,,,,,,,,true,,,,,,,,
convnext_base_l2trades_2_init2,convnext_base,2,trades,scratch,,,l2,2,235,trades l2 eps2 scratch,convnext_base,convnext_base_l2trades_2_init2,2,,,results/models,150,256,True,trades,l2,,2,,,,,,,,true,,,,,,,,
convnext_base_l2trades_4_init2,convnext_base,2,trades,scratch,,,l2,4,236,trades l2 eps4 scratch,convnext_base,convnext_base_l2trades_4_init2,2,,,results/models,150,256,True,trades,l2,,4,,,,,,,,true,,,,,,,,
convnext_base_l2trades_cont4to6_init2,convnext_base,2,trades,continuation,,convnext_base_l2trades_4_init2,l2,6,237,cont 4->6 from convnext_base_l2trades_4_init2 (continuation),convnext_base,convnext_base_l2trades_cont4to6_init2,2,,,results/models,40,256,True,trades,l2,,6,,,,,,true,true,true,true,warmup_ramp_fixed,4,6,4,5,25,26
convnext_base_l2trades_cont4to8_init2,convnext_base,2,trades,continuation,,convnext_base_l2trades_4_init2,l2,8,238,cont 4->8 from convnext_base_l2trades_4_init2 (continuation),convnext_base,convnext_base_l2trades_cont4to8_init2,2,,,results/models,40,256,True,trades,l2,,8,,,,,,true,true,true,true,warmup_ramp_fixed,4,8,4,5,25,26
convnext_base_l2trades_cont8to12_init2,convnext_base,2,trades,continuation,,convnext_base_l2trades_cont4to8_init2,l2,12,239,cont 8->12 from convnext_base_l2trades_cont4to8_init2 (continuation),convnext_base,convnext_base_l2trades_cont8to12_init2,2,,,results/models,50,256,True,trades,l2,,12,,,,,,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36
convnext_base_linftrades_1_init2,convnext_base,2,trades,scratch,,,linf,1,240,trades linf eps1 scratch,convnext_base,convnext_base_linftrades_1_init2,2,,,results/models,150,256,True,trades,linf,,1,,,,,,,,true,,,,,,,,
convnext_base_linftrades_2_init2,convnext_base,2,trades,scratch,,,linf,2,241,trades linf eps2 scratch,convnext_base,convnext_base_linftrades_2_init2,2,,,results/models,150,256,True,trades,linf,,2,,,,,,,,true,,,,,,,,
convnext_base_linftrades_4_init2,convnext_base,2,trades,scratch,,,linf,4,242,trades linf eps4 scratch,convnext_base,convnext_base_linftrades_4_init2,2,,,results/models,150,256,True,trades,linf,,4,,,,,,,,true,,,,,,,,
convnext_base_linftrades_cont4to6_init2,convnext_base,2,trades,continuation,,convnext_base_linftrades_4_init2,linf,6,243,cont 4->6 from convnext_base_linftrades_4_init2 (continuation),convnext_base,convnext_base_linftrades_cont4to6_init2,2,,,results/models,40,256,True,trades,linf,,6,,,,,,true,true,true,true,warmup_ramp_fixed,4,6,4,5,25,26
